"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 12, 2019","13,358.47","13,427.22","13,427.22","13,353.15","45.94M","-0.51%"
"Dec 15, 2019","13,433.54","13,358.47","13,433.54","13,357.47","21.70M","0.56%"
"Dec 16, 2019","13,404.42","13,433.54","13,455.27","13,404.24","41.29M","-0.22%"
"Dec 17, 2019","13,627.19","13,404.42","13,627.19","13,404.41","95.74M","1.66%"
"Dec 18, 2019","13,793.99","13,627.19","13,798.63","13,627.19","412.01M","1.22%"
"Dec 19, 2019","13,837.19","13,793.99","13,856.67","13,793.99","67.96M","0.31%"
"Dec 22, 2019","13,892.65","13,837.19","13,901.57","13,793.47","-","0.40%"
"Dec 23, 2019","13,902.43","13,892.65","13,904.67","13,873.49","33.21M","0.07%"
"Dec 24, 2019","13,805.43","13,902.43","13,902.43","13,794.35","38.12M","-0.70%"
"Dec 25, 2019","13,747.68","13,805.43","13,846.31","13,741.01","30.89M","-0.42%"
"Dec 26, 2019","13,884.95","13,747.68","13,887.12","13,746.82","45.48M","1.00%"
"Dec 29, 2019","13,812.98","13,884.95","13,893.30","13,811.38","46.10M","-0.52%"
"Dec 30, 2019","13,937.26","13,812.98","13,952.29","13,812.86","66.52M","0.90%"
"Dec 31, 2019","13,961.56","13,937.26","14,092.47","13,926.98","69.50M","0.17%"
"Jan 02, 2020","13,899.54","13,961.56","13,964.95","13,899.54","28.40M","-0.44%"
"Jan 05, 2020","13,283.66","13,899.54","13,899.54","13,283.66","-","-4.43%"
"Jan 06, 2020","13,212.66","13,283.66","13,283.66","13,005.23","103.11M","-0.53%"
"Jan 08, 2020","13,542.48","13,212.66","13,542.48","13,102.08","113.25M","2.50%"
"Jan 09, 2020","13,729.81","13,542.48","13,736.07","13,542.37","82.08M","1.38%"
"Jan 12, 2020","13,802.57","13,729.81","13,802.99","13,726.32","60.24M","0.53%"
"Jan 13, 2020","13,698.64","13,802.57","13,834.09","13,698.64","98.24M","-0.75%"
"Jan 14, 2020","13,756.64","13,698.64","13,763.83","13,698.09","77.74M","0.42%"
"Jan 15, 2020","13,769.64","13,756.64","13,779.28","13,713.63","48.21M","0.09%"
"Jan 16, 2020","13,824.16","13,769.64","13,824.16","13,766.96","55.48M","0.40%"
"Jan 19, 2020","13,918.18","13,824.16","13,977.72","13,817.52","49.68M","0.68%"
"Jan 20, 2020","13,773.73","13,918.18","13,941.65","13,773.73","51.01M","-1.04%"
"Jan 21, 2020","13,639.72","13,773.73","13,773.73","13,631.72","59.66M","-0.97%"
"Jan 22, 2020","13,752.11","13,639.72","13,786.73","13,639.72","48.97M","0.82%"
"Jan 23, 2020","13,728.09","13,752.11","13,782.27","13,720.30","74.30M","-0.17%"
"Jan 26, 2020","13,721.45","13,728.09","13,748.29","13,716.65","43.38M","-0.05%"
"Jan 27, 2020","13,639.69","13,721.45","13,748.08","13,639.69","50.56M","-0.60%"
"Jan 28, 2020","13,620.58","13,639.69","13,639.69","13,563.70","66.57M","-0.14%"
"Jan 29, 2020","13,762.84","13,620.58","13,764.43","13,620.58","79.05M","1.04%"
"Jan 30, 2020","13,918.84","13,762.84","13,918.84","13,762.84","141.14M","1.13%"
"Feb 02, 2020","13,888.89","13,918.84","13,943.16","13,888.89","166.01M","-0.22%"
"Feb 03, 2020","13,878.33","13,888.89","13,906.78","13,852.89","51.14M","-0.08%"
"Feb 04, 2020","13,915.05","13,878.33","13,970.67","13,878.33","78.89M","0.26%"
"Feb 05, 2020","13,987.16","13,915.05","14,000.86","13,915.05","98.55M","0.52%"
"Feb 06, 2020","14,105.86","13,987.16","14,121.54","13,987.16","112.78M","0.85%"
"Feb 09, 2020","14,108.24","14,105.86","14,137.22","14,105.70","74.04M","0.02%"
"Feb 10, 2020","13,979.36","14,108.24","14,108.24","13,964.45","73.58M","-0.91%"
"Feb 11, 2020","14,009.32","13,979.36","14,052.93","13,979.36","60.57M","0.21%"
"Feb 12, 2020","13,845.16","14,009.32","14,009.40","13,840.94","62.47M","-1.17%"
"Feb 13, 2020","13,859.45","13,845.16","13,895.92","13,844.26","69.88M","0.10%"
"Feb 16, 2020","13,737.40","13,859.45","13,859.71","13,724.72","65.28M","-0.88%"
"Feb 17, 2020","13,800.25","13,737.40","13,806.12","13,734.67","62.04M","0.46%"
"Feb 18, 2020","13,636.93","13,800.25","13,803.82","13,636.93","88.51M","-1.18%"
"Feb 19, 2020","13,694.99","13,636.93","13,710.45","13,626.41","108.31M","0.43%"
"Feb 20, 2020","13,720.65","13,694.99","13,741.07","13,693.43","111.98M","0.19%"
"Feb 23, 2020","13,688.05","13,720.65","13,763.24","13,688.05","55.67M","-0.24%"
"Feb 24, 2020","13,441.86","13,688.05","13,688.05","13,441.28","123.62M","-1.80%"
"Feb 25, 2020","13,328.26","13,441.86","13,442.48","13,326.41","123.62M","-0.85%"
"Feb 26, 2020","13,200.66","13,328.26","13,328.26","13,190.14","129.67M","-0.96%"
"Feb 27, 2020","13,008.94","13,200.66","13,255.64","13,008.94","207.49M","-1.45%"
"Mar 01, 2020","12,222.59","13,008.94","13,008.94","12,210.82","121.41M","-6.04%"
"Mar 02, 2020","12,289.87","12,222.59","12,458.33","12,222.59","179.12M","0.55%"
"Mar 03, 2020","12,419.52","12,289.87","12,488.97","12,289.87","147.54M","1.05%"
"Mar 04, 2020","12,182.46","12,419.52","12,475.68","12,181.93","97.43M","-1.91%"
"Mar 05, 2020","12,347.65","12,182.46","12,358.18","12,182.46","171.86M","1.36%"
"Mar 08, 2020","11,849.39","12,347.65","12,347.65","11,847.94","95.85M","-4.04%"
"Mar 09, 2020","10,983.48","11,849.39","11,849.39","10,913.61","200.55M","-7.31%"
"Mar 10, 2020","11,199.96","10,983.48","11,199.96","10,983.48","203.40M","1.97%"
"Mar 11, 2020","11,194.12","11,199.96","11,399.21","11,192.68","153.67M","-0.05%"
"Mar 15, 2020","10,148.34","11,194.12","11,194.12","10,148.34","152.72M","-9.34%"
"Mar 16, 2020","9,428.94","10,148.34","10,148.34","9,285.56","178.46M","-7.09%"
"Mar 17, 2020","9,201.65","9,428.94","9,428.94","9,160.64","141.36M","-2.41%"
"Mar 18, 2020","8,756.70","9,201.65","9,323.59","8,756.70","118.92M","-4.84%"
"Mar 19, 2020","9,205.58","8,756.70","9,205.58","8,113.82","360.07M","5.13%"
"Mar 22, 2020","9,750.66","9,205.58","9,824.58","9,205.58","154.69M","5.92%"
"Mar 23, 2020","10,047.44","9,750.66","10,414.65","9,750.66","240.65M","3.04%"
"Mar 24, 2020","9,770.48","10,047.44","10,047.44","9,770.47","194.54M","-2.76%"
"Mar 25, 2020","9,865.67","9,770.48","9,910.81","9,770.48","148.63M","0.97%"
"Mar 26, 2020","9,912.98","9,865.67","9,930.28","9,856.90","-","0.48%"
"Mar 29, 2020","9,760.18","9,912.98","9,912.98","9,744.74","-","-1.54%"
"Mar 30, 2020","9,521.43","9,760.18","9,762.26","9,507.38","122.51M","-2.45%"
"Mar 31, 2020","9,593.94","9,521.43","9,623.99","9,517.10","159.74M","0.76%"
"Apr 01, 2020","9,424.89","9,593.94","9,593.94","9,414.23","125.93M","-1.76%"
"Apr 02, 2020","9,455.38","9,424.89","9,488.46","9,399.21","129.91M","0.32%"
"Apr 05, 2020","9,272.88","9,455.38","9,455.38","9,264.51","107.57M","-1.93%"
"Apr 06, 2020","9,446.99","9,272.88","9,447.08","9,272.88","146.39M","1.88%"
"Apr 07, 2020","9,840.62","9,446.99","9,840.62","9,446.99","316.73M","4.17%"
"Apr 08, 2020","10,095.57","9,840.62","10,097.65","9,840.62","268.91M","2.59%"
"Apr 09, 2020","10,321.97","10,095.57","10,382.70","10,095.57","193.93M","2.24%"
"Apr 12, 2020","10,237.47","10,321.97","10,352.36","10,224.78","129.62M","-0.82%"
"Apr 13, 2020","10,353.72","10,237.47","10,374.16","10,237.47","190.69M","1.14%"
"Apr 14, 2020","10,458.16","10,353.72","10,458.42","10,353.72","219.22M","1.01%"
"Apr 15, 2020","10,342.13","10,458.16","10,502.88","10,342.11","195.99M","-1.11%"
"Apr 16, 2020","10,154.64","10,342.13","10,342.13","10,141.56","-","-1.81%"
"Apr 21, 2020","9,874.94","10,154.64","10,154.64","9,874.85","247.80M","-2.75%"
"Apr 22, 2020","9,801.33","9,874.94","9,887.73","9,773.43","278.56M","-0.75%"
"Apr 23, 2020","10,120.46","9,801.33","10,120.46","9,801.33","249.12M","3.26%"
"Apr 26, 2020","10,377.24","10,120.46","10,378.79","10,120.46","315.23M","2.54%"
"Apr 27, 2020","10,376.00","10,377.24","10,462.63","10,325.23","268.16M","-0.01%"
"Apr 28, 2020","10,415.12","10,376.00","10,419.97","10,333.88","238.35M","0.38%"
"Apr 29, 2020","10,545.26","10,415.12","10,556.30","10,415.12","238.35M","1.25%"
"Apr 30, 2020","10,554.04","10,545.26","10,571.54","10,513.71","159.25M","0.08%"
"May 03, 2020","10,199.85","10,554.04","10,554.04","10,199.85","212.34M","-3.36%"
"May 04, 2020","10,081.96","10,199.85","10,199.85","10,069.92","159.25M","-1.16%"
"May 05, 2020","10,188.31","10,081.96","10,198.77","10,081.96","134.05M","1.05%"
"May 06, 2020","10,293.95","10,188.31","10,295.24","10,188.31","141.56M","1.04%"
"May 07, 2020","10,176.73","10,293.95","10,312.70","10,173.99","188.68M","-1.14%"
"May 10, 2020","10,257.75","10,176.73","10,262.13","10,168.23","118.83M","0.80%"
"May 11, 2020","10,296.33","10,257.75","10,296.36","10,161.39","153.49M","0.38%"
"May 12, 2020","10,588.36","10,296.33","10,590.93","10,296.33","162.07M","2.84%"
"May 13, 2020","10,396.28","10,588.36","10,591.03","10,382.30","151.30M","-1.81%"
"May 14, 2020","10,287.21","10,396.28","10,396.28","10,286.98","117.63M","-1.05%"
"May 17, 2020","10,357.44","10,287.21","10,366.79","10,282.92","68.39M","0.68%"
"May 18, 2020","10,278.93","10,357.44","10,378.46","10,278.93","86.20M","-0.76%"
"May 19, 2020","10,357.24","10,278.93","10,396.84","10,278.93","86.20M","0.76%"
"May 20, 2020","10,205.40","10,357.24","10,358.40","10,203.15","88.50M","-1.47%"
"May 21, 2020","10,109.91","10,205.40","10,205.40","10,063.96","-","-0.94%"
"May 31, 2020","10,220.14","10,109.91","10,248.99","10,109.91","85.03M","1.09%"
"Jun 01, 2020","10,227.38","10,220.14","10,233.23","10,195.29","-","0.07%"
"Jun 02, 2020","10,338.71","10,227.38","10,344.02","10,227.38","162.66M","1.09%"
"Jun 03, 2020","10,424.10","10,338.71","10,431.35","10,338.71","237.01M","0.83%"
"Jun 04, 2020","10,621.14","10,424.10","10,621.30","10,424.10","225.42M","1.89%"
"Jun 07, 2020","11,108.62","10,621.14","11,109.81","10,621.14","275.60M","4.59%"
"Jun 08, 2020","11,146.53","11,108.62","11,215.28","11,086.10","236.26M","0.34%"
"Jun 09, 2020","11,063.04","11,146.53","11,146.53","11,063.04","299.02M","-0.75%"
"Jun 10, 2020","10,933.58","11,063.04","11,067.60","10,933.58","164.20M","-1.17%"
"Jun 11, 2020","10,831.92","10,933.58","10,933.58","10,831.92","136.89M","-0.93%"
"Jun 14, 2020","10,731.17","10,831.92","10,831.92","10,703.99","134.12M","-0.93%"
"Jun 15, 2020","10,668.42","10,731.17","10,731.17","10,575.45","144.18M","-0.58%"
"Jun 16, 2020","10,935.32","10,668.42","10,955.79","10,668.42","183.65M","2.50%"
"Jun 17, 2020","10,905.75","10,935.32","10,941.65","10,888.71","165.87M","-0.27%"
"Jun 18, 2020","10,857.87","10,905.75","10,905.75","10,856.26","142.07M","-0.44%"
"Jun 21, 2020","10,823.91","10,857.87","10,857.87","10,707.25","140.39M","-0.31%"
"Jun 22, 2020","10,742.36","10,823.91","10,871.82","10,742.36","166.76M","-0.75%"
"Jun 23, 2020","10,764.82","10,742.36","10,773.43","10,695.40","173.86M","0.21%"
"Jun 24, 2020","11,039.54","10,764.82","11,040.88","10,764.82","261.62M","2.55%"
"Jun 25, 2020","10,890.48","11,039.54","11,088.80","10,890.48","261.62M","-1.35%"
"Jun 28, 2020","10,848.65","10,890.48","10,890.48","10,842.68","150.33M","-0.38%"
"Jun 29, 2020","10,750.10","10,848.65","10,852.46","10,744.19","261.62M","-0.91%"
"Jun 30, 2020","10,764.59","10,750.10","10,821.72","10,750.10","232.41M","0.13%"
"Jul 05, 2020","10,959.35","10,764.59","10,962.30","10,764.59","290.77M","1.81%"
"Jul 06, 2020","11,087.64","10,959.35","11,100.75","10,959.35","232.41M","1.17%"
"Jul 07, 2020","11,050.20","11,087.64","11,104.32","11,037.43","227.95M","-0.34%"
"Jul 08, 2020","11,127.85","11,050.20","11,172.57","11,050.20","400.06M","0.70%"
"Jul 09, 2020","10,957.02","11,127.85","11,127.85","10,944.58","290.16M","-1.54%"
"Jul 12, 2020","11,071.96","10,957.02","11,072.12","10,957.02","198.09M","1.05%"
"Jul 13, 2020","11,007.85","11,071.96","11,140.45","11,007.85","682.79M","-0.58%"
"Jul 14, 2020","10,873.53","11,007.85","11,007.85","10,867.70","682.79M","-1.22%"
"Jul 15, 2020","10,617.42","10,873.53","10,932.57","10,617.42","351.42M","-2.36%"
"Jul 16, 2020","10,441.20","10,617.42","10,617.42","10,378.23","145.50M","-1.66%"
"Jul 19, 2020","10,281.16","10,441.20","10,476.02","10,271.96","166.11M","-1.53%"
"Jul 20, 2020","10,380.45","10,281.16","10,380.45","10,277.89","514.57M","0.97%"
"Jul 21, 2020","10,558.35","10,380.45","10,593.76","10,380.45","194.99M","1.71%"
"Jul 22, 2020","10,459.92","10,558.35","10,570.96","10,457.75","109.87M","-0.93%"
"Jul 26, 2020","10,524.45","10,459.92","10,524.45","10,459.92","128.90M","0.62%"
"Jul 27, 2020","10,575.47","10,524.45","10,592.33","10,524.45","109.87M","0.48%"
"Jul 28, 2020","10,568.84","10,575.47","10,621.90","10,568.54","164.19M","-0.06%"
"Jul 29, 2020","10,599.46","10,568.84","10,599.46","10,568.84","273.64M","0.29%"
"Aug 04, 2020","10,620.10","10,599.46","10,668.90","10,596.80","329.56M","0.19%"
"Aug 05, 2020","10,704.33","10,620.10","10,705.50","10,620.10","305.66M","0.79%"
"Aug 06, 2020","10,817.29","10,704.33","10,827.28","10,704.33","279.30M","1.06%"
"Aug 09, 2020","10,962.52","10,817.29","10,964.27","10,817.29","250.55M","1.34%"
"Aug 10, 2020","10,938.23","10,962.52","11,047.01","10,937.98","181.12M","-0.22%"
"Aug 11, 2020","10,919.47","10,938.23","10,995.70","10,889.40","435.82M","-0.17%"
"Aug 12, 2020","10,922.33","10,919.47","10,974.65","10,919.47","230.84M","0.03%"
"Aug 13, 2020","10,944.18","10,922.33","10,967.80","10,914.79","153.73M","0.20%"
"Aug 16, 2020","11,120.26","10,944.18","11,131.36","10,944.18","234.57M","1.61%"
"Aug 17, 2020","11,142.77","11,120.26","11,193.72","11,100.69","222.48M","0.20%"
"Aug 18, 2020","11,077.11","11,142.77","11,142.77","11,072.86","161.90M","-0.59%"
"Aug 19, 2020","11,160.05","11,077.11","11,160.16","11,076.86","195.16M","0.75%"
"Aug 23, 2020","11,391.08","11,160.05","11,391.08","11,160.05","222.38M","2.07%"
"Aug 24, 2020","11,433.76","11,391.08","11,461.65","11,391.08","321.00M","0.37%"
"Aug 25, 2020","11,461.62","11,433.76","11,476.10","11,431.55","272.32M","0.24%"
"Aug 26, 2020","11,453.78","11,461.62","11,493.43","11,453.78","242.40M","-0.07%"
"Aug 27, 2020","11,462.45","11,453.78","11,468.18","11,422.85","264.89M","0.08%"
"Aug 30, 2020","11,434.81","11,462.45","11,478.03","11,419.61","190.87M","-0.24%"
"Aug 31, 2020","11,365.99","11,434.81","11,490.42","11,365.99","247.25M","-0.60%"
"Sep 01, 2020","11,233.94","11,365.99","11,367.01","11,233.94","182.66M","-1.16%"
"Sep 02, 2020","11,214.22","11,233.94","11,243.34","11,183.44","195.27M","-0.18%"
"Sep 03, 2020","11,180.81","11,214.22","11,254.92","11,180.12","145.58M","-0.30%"
"Sep 06, 2020","11,073.02","11,180.81","11,180.81","11,041.28","107.37M","-0.96%"
"Sep 07, 2020","11,136.03","11,073.02","11,190.53","11,072.00","170.24M","0.57%"
"Sep 08, 2020","10,951.29","11,136.03","11,136.03","10,937.29","205.12M","-1.66%"
"Sep 09, 2020","10,929.89","10,951.29","10,954.69","10,873.66","168.24M","-0.20%"
"Sep 10, 2020","11,070.84","10,929.89","11,073.85","10,929.89","134.57M","1.29%"
"Sep 13, 2020","11,091.67","11,070.84","11,100.76","11,049.31","120.05M","0.19%"
"Sep 14, 2020","11,034.38","11,091.67","11,119.75","11,034.07","156.85M","-0.52%"
"Sep 15, 2020","11,028.06","11,034.38","11,049.54","11,013.17","102.60M","-0.06%"
"Sep 16, 2020","11,088.20","11,028.06","11,091.40","11,027.32","136.48M","0.55%"
"Sep 17, 2020","11,050.89","11,088.20","11,110.95","11,050.89","701.25M","-0.34%"
"Sep 20, 2020","10,969.32","11,050.89","11,050.89","10,949.99","85.16M","-0.74%"
"Sep 21, 2020","10,910.37","10,969.32","11,025.53","10,910.33","199.99M","-0.54%"
"Sep 22, 2020","10,963.01","10,910.37","10,963.01","10,818.29","156.21M","0.48%"
"Sep 23, 2020","10,979.44","10,963.01","11,062.28","10,963.01","126.56M","0.15%"
"Sep 24, 2020","10,911.44","10,979.44","10,979.44","10,887.88","115.82M","-0.62%"
"Sep 27, 2020","10,902.22","10,911.44","10,993.60","10,898.72","131.61M","-0.08%"
"Sep 28, 2020","10,969.94","10,902.22","10,985.76","10,902.22","221.89M","0.62%"
"Sep 29, 2020","10,987.19","10,969.94","11,000.83","10,969.94","160.09M","0.16%"
"Sep 30, 2020","10,989.27","10,987.19","10,999.37","10,975.83","128.05M","0.02%"
"Oct 01, 2020","11,051.30","10,989.27","11,065.23","10,988.86","126.54M","0.56%"
"Oct 04, 2020","11,071.46","11,051.30","11,083.15","11,051.30","102.03M","0.18%"
"Oct 05, 2020","11,007.69","11,071.46","11,122.65","10,999.90","105.00M","-0.58%"
"Oct 06, 2020","11,146.18","11,007.69","11,146.22","11,007.69","167.20M","1.26%"
"Oct 07, 2020","11,326.98","11,146.18","11,344.82","11,146.18","203.28M","1.62%"
"Oct 11, 2020","11,360.37","11,326.98","11,382.11","11,326.98","254.04M","0.29%"
"Oct 12, 2020","11,397.65","11,360.37","11,423.92","11,360.37","218.69M","0.33%"
"Oct 13, 2020","11,291.81","11,397.65","11,397.65","11,291.72","125.52M","-0.93%"
"Oct 14, 2020","11,333.91","11,291.81","11,334.06","11,282.69","157.49M","0.37%"
"Oct 15, 2020","11,322.71","11,333.91","11,375.85","11,322.71","148.34M","-0.10%"
"Oct 18, 2020","11,185.15","11,322.71","11,322.71","11,185.15","92.63M","-1.21%"
"Oct 19, 2020","11,171.36","11,185.15","11,199.91","11,163.11","113.33M","-0.12%"
"Oct 20, 2020","11,157.62","11,171.36","11,175.89","11,123.17","106.28M","-0.12%"
"Oct 21, 2020","11,101.63","11,157.62","11,184.04","11,101.63","148.50M","-0.50%"
